round_id,date,course,hole,shot,club,distance_yd,category,start_lat,start_lng,end_lat,end_lng,pin_lat,pin_lng
27924130,2026-06-06,WindRose GC,7,3,Pitching Wedge,9.8,approach,30.0628921,-95.520479,30.0628601,-95.5205643,30.0628754642,-95.520645989927
27924130,2026-06-06,WindRose GC,7,4,Putter,8.1,putt,30.0628601,-95.5205643,30.0628743,-95.5206398,30.0628754642,-95.520645989927
27924130,2026-06-06,WindRose GC,7,5,Putter,0.7,putt,30.0628743,-95.5206398,30.0628754642,-95.520645989927,30.0628754642,-95.520645989927
27924130,2026-06-06,WindRose GC,8,1,Driver,269.9,tee,30.0641497,-95.5198642,30.063984198151,-95.517306625843,30.064422996858,-95.516318717817
27924130,2026-06-06,WindRose GC,8,2,8 Iron,120.9,approach,30.063984198151,-95.517306625843,30.0643281,-95.5162286,30.064422996858,-95.516318717817
27924130,2026-06-06,WindRose GC,8,3,Putter,14.3,putt,30.0643281,-95.5162286,30.064418761496,-95.516314695745,30.064422996858,-95.516318717817
27924130,2026-06-06,WindRose GC,8,4,Putter,0.7,putt,30.064418761496,-95.516314695745,30.064422996858,-95.516318717817,30.064422996858,-95.516318717817
27924130,2026-06-06,WindRose GC,9,1,Driver,242.5,tee,30.0645873,-95.5151143,30.062686258092,-95.514417551458,30.061262285103,-95.513687119046
27924130,2026-06-06,WindRose GC,9,2,Hybrid,82.5,short,30.062686258092,-95.514417551458,30.0622658,-95.5138019,30.061262285103,-95.513687119046
27924130,2026-06-06,WindRose GC,9,3,5 Iron,100.7,short,30.0622658,-95.5138019,30.0614594,-95.5140202,30.061262285103,-95.513687119046
27924130,2026-06-06,WindRose GC,9,4,54 Wedge,46.5,approach,30.0614594,-95.5140202,30.061220761111,-95.513674477778,30.061262285103,-95.513687119046
27924130,2026-06-06,WindRose GC,9,5,Putter,4.6,putt,30.061220761111,-95.513674477778,30.061256983762,-95.513685505143,30.061262285103,-95.513687119046
27924130,2026-06-06,WindRose GC,9,6,Putter,0.7,putt,30.061256983762,-95.513685505143,30.061262285103,-95.513687119046,30.061262285103,-95.513687119046
27924130,2026-06-06,WindRose GC,10,1,Driver,265.8,tee,30.0591246,-95.5119587,30.0584496,-95.5095563,30.057737365499,-95.508897378239
