score_id,played_at,course_name,hole_number,par,raw_score,adjusted_gross_score,stroke_allocation,putts,fairway_hit,gir_flag,drive_accuracy,approach_shot_accuracy,x_hole,most_likely_score
1168056070,2026-05-16,WindRose Golf Club,5,4,3,3,11,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,6,3,4,4,5,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,7,4,5,5,9,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,8,4,5,5,1,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,9,5,6,6,13,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,10,4,4,4,6,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,11,3,6,6,18,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,12,5,4,4,12,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,13,4,7,7,4,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,14,5,4,4,10,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,15,4,5,5,8,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,16,3,2,2,14,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,17,4,6,6,16,,,,,,False,
1168056070,2026-05-16,WindRose Golf Club,18,4,5,5,2,,,,,,False,
1168056454,2026-05-03,Forest,1,4,6,6,13,,,,,,False,
1168056454,2026-05-03,Forest,2,4,5,5,7,,,,,,False,
1168056454,2026-05-03,Forest,3,5,8,8,3,,,,,,False,
1168056454,2026-05-03,Forest,4,3,5,5,17,,,,,,False,
1168056454,2026-05-03,Forest,5,5,7,7,1,,,,,,False,
1168056454,2026-05-03,Forest,6,3,5,5,15,,,,,,False,
1168056454,2026-05-03,Forest,7,4,5,5,5,,,,,,False,
1168056454,2026-05-03,Forest,8,4,7,7,9,,,,,,False,
1168056454,2026-05-03,Forest,9,4,4,4,11,,,,,,False,
1168056454,2026-05-03,Forest,10,5,8,8,10,,,,,,False,
1168056454,2026-05-03,Forest,11,3,4,4,16,,,,,,False,
1168056454,2026-05-03,Forest,12,4,5,5,8,,,,,,False,
1168056454,2026-05-03,Forest,13,4,4,4,14,,,,,,False,
1168056454,2026-05-03,Forest,14,3,4,4,18,,,,,,False,
1168056454,2026-05-03,Forest,15,4,8,8,6,,,,,,False,
1168056454,2026-05-03,Forest,16,4,5,5,12,,,,,,False,
1168056454,2026-05-03,Forest,17,5,7,7,2,,,,,,False,
1168056454,2026-05-03,Forest,18,4,4,4,4,,,,,,False,
