round_id,date,hole_id,shot_num,club,club_category,shot_distance_yd,start_dist_to_pin_yd,end_dist_to_pin_yd,start_lat,start_lng,end_lat,end_lng,start_alt,end_alt,is_half_swing,lie_approx,is_tee,is_putt,penalties,category_approx,sg_shot_approx
27924130,2026-06-06,1,1,Driver,Driver,186.8,348.7,167.8,30.0578524,-95.5136816,30.0567153,-95.5124879,,,0,tee,1,0,0,off_tee,-0.133
27924130,2026-06-06,1,2,5 Iron,Iron,31.6,167.8,136.3,30.0567153,-95.5124879,30.056481922807,-95.512355119298,,,0,rough,0,0,0,approach,-0.638
27924130,2026-06-06,1,3,7 Iron,Iron,127.1,136.3,24.2,30.056481922807,-95.512355119298,30.0554541,-95.512136,,,0,rough,0,0,0,approach,-0.313
27924130,2026-06-06,1,4,54 Wedge,Wedge,22.5,24.2,1.7,30.0554541,-95.512136,30.0554316,-95.5119237,,,0,rough,0,0,0,short_game,0.37
27924130,2026-06-06,1,5,Putter,Putter,1.0,1.7,0.7,30.0554316,-95.5119237,30.055430762071,-95.511914248564,,,0,green,0,1,0,putting,-0.747
27924130,2026-06-06,1,6,Putter,Putter,0.7,0.7,0.0,30.055430762071,-95.511914248564,30.05543020345,-95.511907947607,,,0,green,0,1,0,putting,0.013
27924130,2026-06-06,2,1,9 Iron,Iron,85.7,115.8,30.9,30.0547446,-95.5141495,30.0554473,-95.5142113,,,0,tee,1,0,0,approach,-0.405
27924130,2026-06-06,2,2,Putter,Putter,28.6,30.9,2.3,30.0554473,-95.5142113,30.055668004988,-95.514304881067,,,0,green,0,1,0,putting,-0.055
27924130,2026-06-06,2,3,Putter,Putter,3.0,2.3,0.7,30.055668004988,-95.514304881067,30.0556915,-95.5143126,,,0,green,0,1,0,putting,-0.579
27924130,2026-06-06,2,4,Putter,Putter,0.7,0.7,0.0,30.0556915,-95.5143126,30.055686018177,-95.514312518855,,,0,green,0,1,0,putting,0.013
27924130,2026-06-06,3,1,Driver,Driver,253.3,315.1,74.8,30.0563561,-95.5148209,30.054549443084,-95.516017824411,,,0,tee,1,0,0,off_tee,0.036
27924130,2026-06-06,3,2,50 Wedge,Wedge,97.9,74.8,27.6,30.054549443084,-95.516017824411,30.0543919,-95.5169297,,,0,fairway,0,0,0,approach,-0.757
27924130,2026-06-06,3,3,58 Wedge,Wedge,30.0,27.6,4.1,30.0543919,-95.5169297,30.0543469,-95.5166495,,,0,rough,0,0,0,short_game,-0.041
27924130,2026-06-06,3,4,Putter,Putter,3.5,4.1,0.7,30.0543469,-95.5166495,30.0543284,-95.5166747,,,0,green,0,1,0,putting,-0.299
27924130,2026-06-06,3,5,Putter,Putter,0.7,0.7,0.0,30.0543284,-95.5166747,30.054324853879,-95.516679530392,,,0,green,0,1,0,putting,0.013
27924130,2026-06-06,4,1,Driver,Driver,257.2,505.7,263.5,30.0551638,-95.5168191,30.056880575445,-95.515391863883,,,0,tee,1,0,0,off_tee,-0.152
27924130,2026-06-06,4,2,5 Iron,Iron,85.6,263.5,178.2,30.056880575445,-95.515391863883,30.0575686,-95.5152205,,,0,fairway,0,0,0,approach,-0.472
27924130,2026-06-06,4,3,5 Iron,Iron,154.0,178.2,24.9,30.0575686,-95.5152205,30.0588219,-95.5150114,,,0,rough,0,0,0,approach,-0.017
27924130,2026-06-06,4,4,Putter,Putter,22.9,24.9,2.0,30.0588219,-95.5150114,30.059008995299,-95.515034078214,,,0,green,0,1,0,putting,-0.038
27924130,2026-06-06,4,5,Putter,Putter,2.0,2.0,0.0,30.059008995299,-95.515034078214,30.059025352351,-95.515036060891,,,0,green,0,1,0,putting,0.357
27924130,2026-06-06,5,1,Driver,Driver,152.9,346.0,193.7,30.0603722,-95.5153981,30.0608966,-95.5167184,,,0,tee,1,0,0,off_tee,-0.277
27924130,2026-06-06,5,2,5 Iron,Iron,38.9,193.7,154.8,30.0608966,-95.5167184,30.061074185294,-95.517025905882,,,0,rough,0,0,0,approach,-0.577
27924130,2026-06-06,5,3,6 Iron,Iron,160.2,154.8,16.5,30.061074185294,-95.517025905882,30.0616279,-95.5184067,,,0,rough,0,0,0,approach,-0.114
27924130,2026-06-06,5,4,54 Wedge,Wedge,13.1,16.5,3.7,30.0616279,-95.5184067,30.0617098,-95.5183257,,,0,rough,0,0,0,short_game,-0.17
27924130,2026-06-06,5,5,Putter,Putter,3.0,3.7,0.7,30.0617098,-95.5183257,30.061719250386,-95.518298876389,,,0,green,0,1,0,putting,-0.341
27924130,2026-06-06,5,6,Putter,Putter,0.7,0.7,0.0,30.061719250386,-95.518298876389,30.061721317373,-95.518293009531,,,0,green,0,1,0,putting,0.013
27924130,2026-06-06,6,1,6 Iron,Iron,70.8,155.3,86.4,30.0607101,-95.5181101,30.0601402,-95.5182464,,,0,tee,1,0,0,approach,-0.777
